drill_id,drill_name,player_type,category,development_area,tier,description,detailed_instructions,equipment_needed,duration_minutes,weekly_target_reps,weekly_target_swings,weekly_target_pitches,min_success_rate,frequency_per_week,metrics_tracked
tee-work-basic,Basic Tee Work,hitter,Contact,Contact Quality,Development,"Focus on making consistent contact with proper swing mechanics","Set up tee at various heights (thigh, belt, chest). Take 25 swings at each height focusing on: 1) Balanced setup 2) Short stride 3) Hands to ball 4) Extension through contact 5) Follow through to target",Tee | Baseballs | Bat | Net,15,0,75,0,70,5,swings
soft-toss-contact,Soft Toss Contact,hitter,Contact,Contact Quality,Development,"Develop hand-eye coordination and timing","Partner sits to side and tosses balls underhand. Focus on: 1) Tracking ball from release 2) Quick hands to contact 3) Square contact 4) Line drive swing plane 5) Hitting ball where it's pitched",Baseballs | Bat | Partner,20,0,60,0,75,4,swings
front-toss-timing,Front Toss Timing,hitter,Timing,Timing Mechanics,Development,"Work on timing and pitch recognition","Coach/partner tosses from 15-20 feet in front. Mix speeds and locations. Focus on: 1) Loading properly 2) Recognizing spin early 3) Adjusting timing 4) Staying balanced through swing",Baseballs | Bat | L-Screen | Partner,25,0,50,0,70,4,swings
pitch-recognition-basic,Basic Pitch Recognition,hitter,Recognition,Pitch Recognition,Development,"Learn to identify fastball vs off-speed","Use video or live BP to practice identifying pitch types. Coach calls out pitch type after release. Track: 1) Initial read 2) Spin recognition 3) Speed differential 4) Location awareness",Screen/Video | Charts,20,50,0,0,65,4,reps
bp-situational,Situational Batting Practice,hitter,Situational,Game Situations,Development,"Practice hitting in game-like situations","Take BP with specific counts and situations: 0-2, 2-0, runner on 2nd, etc. Focus on: 1) Approach adjustment 2) Contact vs power 3) Situational hitting 4) Pressure execution",Baseballs | Bat | Pitcher,30,25,40,0,70,3,swings
exit-velocity-training,Exit Velocity Training,hitter,Power,Power Development,Solid,"Increase bat speed and exit velocity","Use weighted bats and overload/underload training. Track exit velocities. Focus on: 1) Hip rotation 2) Torque creation 3) Bat speed through zone 4) Optimal launch angle",Weighted Bats | Radar Gun | Tee | Baseballs,20,0,50,0,75,4,swings
advanced-pitch-recognition,Advanced Pitch Recognition,hitter,Recognition,Advanced Recognition,Solid,"Identify spin patterns and sequences","Use high-speed video and pitch tunneling drills. Practice: 1) Spin rate identification 2) Release point consistency 3) Pitch tunneling recognition 4) Sequential pattern reading",Video Equipment | Charts | Timer,25,40,0,0,80,4,reps
two-strike-approach,Two-Strike Approach,hitter,Situational,Game Situations,Solid,"Master hitting with two strikes","Practice shortening swing and making contact with two strikes. Focus on: 1) Shortened swing 2) Contact over power 3) Opposite field approach 4) Fouling off tough pitches",Baseballs | Bat | Pitcher,25,30,35,0,75,3,swings
velocity-adjustment,Velocity Adjustment Training,hitter,Timing,Velocity Adjustment,Elite,"Handle high velocity while maintaining timing","Use pitching machines at various speeds (85-95+). Practice: 1) Quick trigger 2) Shortened load 3) Timing adjustments 4) Maintaining mechanics at speed",Pitching Machine | Baseballs | Bat,20,0,35,0,80,4,swings
elite-situational,Elite Situational Hitting,hitter,Mental,Advanced Approach,Elite,"Master count leveraging and advanced approach","Practice working counts and hunting specific pitches. Focus on: 1) Count awareness 2) Pitch hunting 3) Taking borderline pitches 4) Executing game plan",Baseballs | Bat | Pitcher | Charts,30,25,0,0,85,3,reps
power-optimization,Power Optimization,hitter,Power,Elite Power,Elite,"Maximize exit velocity and launch angle","Use biomechanical analysis and launch angle training. Focus on: 1) Optimal attack angle 2) Maximum exit velocity 3) Launch angle consistency 4) Power to all fields",Launch Angle Trainer | Radar Gun | Biomechanics Equipment,25,0,40,0,85,4,swings
fastball-command-basic,Basic Fastball Command,pitcher,Command,Strike Zone Command,Development,"Hit corners consistently with fastball","Throw to specific zones using target practice. Focus on: 1) Hitting strike zone corners 2) Consistent release point 3) Proper mechanics 4) Building command confidence",Baseballs | Home Plate | Targets,25,0,0,30,65,5,pitches
balance-delivery,Balance and Delivery,pitcher,Mechanics,Delivery Consistency,Development,"Establish consistent delivery patterns","Practice delivery with emphasis on balance. Focus on: 1) Leg lift balance 2) Stride direction 3) Hip/shoulder separation 4) Consistent finish",Baseballs | Mound | Home Plate,20,50,0,0,80,5,reps
changeup-development,Changeup Development,pitcher,Pitch Development,Pitch Arsenal,Development,"Develop basic changeup feel and command","Learn proper changeup grip and arm action. Focus on: 1) Circle change grip 2) Same arm speed as fastball 3) Commanding strike zone 4) Feel for pitch",Baseballs | Glove | Home Plate,20,0,0,20,50,3,pitches
bullpen-routine,Structured Bullpen,pitcher,Command,Situational Pitching,Solid,"Simulate game situations in bullpen","Throw structured bullpen with game-like approach. Focus on: 1) Fastball command 2) Secondary pitch usage 3) Pitch sequencing 4) Attacking hitters",Baseballs | Mound | Catcher | Home Plate,30,0,0,25,75,4,pitches
secondary-command,Secondary Pitch Command,pitcher,Pitch Development,Pitch Quality,Solid,"Develop command of breaking ball/changeup","Focus on commanding secondary pitches for strikes. Focus on: 1) Consistent break/fade 2) Strike zone command 3) Feel and release 4) Arm action consistency",Baseballs | Mound | Targets,25,0,0,30,70,4,pitches
situational-pitching,Situational Pitching,pitcher,Mental,Situational Awareness,Solid,"Practice pitching with runners on base","Simulate game situations with base runners. Focus on: 1) Slide step timing 2) Pickoff moves 3) Pitch selection 4) Pressure execution",Baseballs | Bases | Runners | Catcher,20,15,0,0,80,3,reps
advanced-sequencing,Advanced Pitch Sequencing,pitcher,Strategy,Pitch Sequencing,Elite,"Master setting up hitters and changing eye levels","Practice sophisticated pitch sequencing patterns. Focus on: 1) Setting up sequences 2) Eye level changes 3) Speed changes 4) Location patterns",Baseballs | Charts | Catcher | Video,30,20,0,0,85,4,reps
elite-command,Elite Strike Zone Command,pitcher,Command,Precision Control,Elite,"Paint corners in high-leverage situations","Practice hitting exact locations under pressure. Focus on: 1) Corner command 2) Pressure execution 3) Fine location control 4) Consistent mechanics",Baseballs | Precision Targets | Mound,25,0,0,20,85,4,pitches
velocity-training,Velocity Enhancement,pitcher,Physical,Power Development,Elite,"Increase fastball velocity while maintaining command","Use weighted ball and long toss programs. Focus on: 1) Hip/shoulder separation 2) Arm strength 3) Leg drive 4) Maintaining command",Weighted Balls | Long Toss Program | Radar Gun,30,25,0,0,80,3,reps
dynamic-warmup-hitting,Dynamic Warm-up for Hitters,hitter,Warm-up,Physical Preparation,All,"Prepare body for hitting activities","Complete dynamic movement sequence: 1) Leg swings 2) Hip circles 3) Arm circles 4) Torso rotations 5) Light swings 6) Activation exercises",Bat | Light Resistance Bands,10,10,0,0,100,5,reps
arm-care-routine,Pitcher Arm Care,pitcher,Recovery,Injury Prevention,All,"Strengthen and protect throwing arm","Complete J-Band routine: 1) External rotation 2) Internal rotation 3) Scapular stabilization 4) Posterior capsule stretch 5) Sleeper stretch",Resistance Bands | J-Bands,15,15,0,0,100,5,reps
long-toss-program,Progressive Long Toss,pitcher,Arm Strength,Arm Development,All,"Build arm strength progressively","Structured long toss program: 1) 60 feet (10 throws) 2) 90 feet (10 throws) 3) 120 feet (10 throws) 4) 150 feet (5 throws) 5) Return progression",Baseballs | Partner | Field,20,25,0,0,90,5,reps
vision-training,Vision and Tracking,hitter,Visual,Visual Skills,All,"Improve eye tracking and focus","Complete vision sequence: 1) Tracking drills 2) Depth perception 3) Peripheral awareness 4) Focus shifting 5) Ball tracking exercises",Vision Training Equipment | Colored Balls,10,20,0,0,85,4,reps
recovery-routine,Post-Practice Recovery,both,Recovery,Recovery Protocol,All,"Proper recovery and regeneration","Complete recovery sequence: 1) Cool down jog 2) Static stretching 3) Foam rolling 4) Hydration 5) Nutrition timing",Foam Roller | Water | Recovery Tools,15,7,0,0,100,7,reps
mental-preparation,Mental Game Training,both,Mental,Mental Skills,All,"Develop mental toughness and focus","Practice mental skills: 1) Visualization 2) Breathing techniques 3) Positive self-talk 4) Focus routines 5) Pressure management",Quiet Space | Mental Training Materials,10,5,0,0,100,3,reps
