Phrase,Category,Meaning,Example Usage
Win it before you’re in it,Pre-At-Bat,Commit to your plan before stepping in.,Before facing a pitcher with plus command — know exactly what zone you want to attack.
Hunt the mistake — don’t miss it,Pre-At-Bat,Look for the pitcher's miss and attack it.,Pitcher tends to leave breaking balls up in the zone — be ready for one early.
Yes until no,Pre-At-Bat,Start in attack mode and decide late to take.,Facing a pitcher who throws a lot of early strikes — avoid being passive.
"Get big on yours, small on theirs",Pre-At-Bat,"Full intent on your pitch, shorten up when behind.","Against a wild pitcher — look for your pitch early, shrink zone if behind in count."
"Know what you’ll take, know what you’ll hammer",Pre-At-Bat,Pre-decide your green-light and hard-take zones.,"Versus pitcher with elite fastball but poor secondary command — take breaking ball early, hammer fastball middle-in."
Be early in the zone,Pre-At-Bat,Start swing decisions early to be on time.,Against a hard-thrower — focus on getting the barrel to the zone sooner.
Shrink the plate,Pre-At-Bat,Narrow your hitting zone for discipline.,Versus pitcher who nibbles — look in one spot and lay off others.
Sit one pitch,Pre-At-Bat,Look for a specific pitch until you get it.,Against a pitcher with dominant fastball — sit on fastball until he proves otherwise.
Don’t miss your 1-0 pitch,Pre-At-Bat,Be aggressive in plus counts.,Pitcher often grooves fastballs after a ball — be ready to attack.
Make him work,Pre-At-Bat,Force the pitcher to throw more pitches early.,Against an ace — see more pitches to elevate his pitch count.
Slow the game down,In-Game Adjustment,Mentally reset and control tempo.,"Hitter is rushing after fouling off multiple pitches — step out, breathe, reset timing."
See it up / See it down,In-Game Adjustment,Adjust visual focus to avoid chases.,After chasing high fastballs — commit to seeing the ball down in the zone.
Sit offspeed / adjust to heat,In-Game Adjustment,"Expect breaking ball, adjust to fastball.",Pitcher spins it a lot in fastball counts — gear for spin and adjust to rare heater.
Get it out front,In-Game Adjustment,Move contact point forward to catch up.,After being late on multiple fastballs — commit to getting barrel out front.
"Shorten up, win the battle",In-Game Adjustment,Simplify swing to prioritize contact.,"Two strikes vs high-K pitcher — put ball in play, avoid big whiffs."
Change your look,In-Game Adjustment,"Alter stance, timing, or body language to disrupt pitcher.",Pitcher in rhythm dominating — adjust foot timing or hand load for new look.
Make him throw you out of your zone,In-Game Adjustment,Force pitcher to execute in your hitting zone.,Facing wild pitcher — avoid expanding zone until he proves he can locate consistently.
Get back to your plan,In-Game Adjustment,Reset mentally to original approach.,After chasing a bad pitch — regroup and return to original hitting plan.
Let it travel,In-Game Adjustment,Wait longer to make contact.,Pulling off breaking balls — focus on deeper contact point.
Stay inside it,In-Game Adjustment,Keep hands tight and drive through ball.,Rolling over on inside pitches — focus on inside path to the ball.
